candidate_id,rank,score,reasoning
CAND_0006567,1,1.0,"Senior AI Engineer with 7.9 years of experience, specializing in NLP, Python, Ranking Systems. Responsive candidate (79% rate) located in Noida, Uttar Pradesh with a 60-day notice period."
CAND_0010257,2,1.0,"Offers 6.5 years of experience as a Senior Data Scientist, with hands-on expertise in Milvus, TensorFlow, Python. Based in Noida, Uttar Pradesh (notice period is long (120 days)); has a response rate of 72% to recruiters."
CAND_0018499,3,1.0,"Experienced Senior Machine Learning Engineer (7.2 years) who has shipped systems using Weaviate, Pinecone, Information Retrieval. Responsive candidate (61% rate) located in Noida, Uttar Pradesh with a quick 15-day notice."
CAND_0041669,4,1.0,"Recommendation Systems Engineer with 8.0 years of experience, specializing in FAISS, Milvus, PEFT. Located in Noida, Uttar Pradesh with a 60-day notice period, showing a response rate of 77%."
CAND_0052328,5,1.0,"Offers 6.5 years of experience as a Recommendation Systems Engineer, with hands-on expertise in LoRA, OpenSearch, QLoRA. Responsive candidate (79% rate) located in Pune, Maharashtra with a 30-day notice period."
CAND_0081846,6,1.0,"Experienced Lead AI Engineer (6.7 years) who has shipped systems using Information Retrieval, Elasticsearch, PyTorch. Based in Jaipur, Rajasthan (30-day notice period); has a response rate of 73% to recruiters."
CAND_0006418,7,0.9958,"Machine Learning Engineer with 5.7 years of experience, specializing in Embeddings, TensorFlow, Weaviate. Located in Gurgaon, Haryana with a 60-day notice period, showing a response rate of 92%."
CAND_0090155,8,0.985,"Experienced ML Engineer (5.8 years) who has shipped systems using Milvus, Qdrant, Pinecone. Located in Pune, Maharashtra with a notice period is long (90 days), showing a response rate of 64%."
CAND_0046525,9,0.984,"Experienced Senior Machine Learning Engineer (6.1 years) who has shipped systems using Elasticsearch, Information Retrieval, TensorFlow. Responsive candidate (88% rate) located in Pune, Maharashtra with a 60-day notice period."
CAND_0061257,10,0.984,"Staff Machine Learning Engineer with 8.0 years of experience, specializing in PEFT, Information Retrieval Systems, Python. Responsive candidate (87% rate) located in Noida, Uttar Pradesh with a 30-day notice period."
CAND_0067866,11,0.984,"Senior Software Engineer (ML) with 6.4 years of experience, specializing in Embeddings, Elasticsearch, LoRA. Based in Noida, Uttar Pradesh (45-day notice period); has a response rate of 79% to recruiters."
CAND_0093763,12,0.984,"Offers 5.0 years of experience as a Senior Software Engineer (ML), with hands-on expertise in FAISS, Vector Search, Sentence Transformers. Based in Noida, Uttar Pradesh (notice period is long (90 days)); has a response rate of 92% to recruiters."
CAND_0079064,13,0.9815,"Offers 5.2 years of experience as a Senior Data Scientist, with hands-on expertise in OpenSearch, NLP, Fine-tuning LLMs. Responsive candidate (91% rate) located in Noida, Uttar Pradesh with a notice period is long (120 days)."
CAND_0093193,14,0.9815,"Senior Machine Learning Engineer with 7.9 years of experience, specializing in Ranking Systems, Qdrant, OpenSearch. Responsive candidate (61% rate) located in Bangalore, Karnataka (relocation constraint) with a 45-day notice period."
CAND_0005538,15,0.9793,"Senior AI Engineer with 5.9 years of experience, specializing in QLoRA, Python, PyTorch. Located in Kolkata, West Bengal (relocation constraint) with a notice period is long (90 days), showing a response rate of 81%."
CAND_0082086,16,0.9793,"Offers 6.0 years of experience as a Senior Software Engineer (ML), with hands-on expertise in FAISS, Pinecone, PyTorch. Responsive candidate (85% rate) located in Delhi, Delhi (relocation constraint) with a 45-day notice period."
CAND_0050876,17,0.9741,"Offers 6.0 years of experience as a Applied ML Engineer, with hands-on expertise in Qdrant, FAISS, OpenSearch. Based in Kolkata, West Bengal (relocation constraint) (notice period is long (90 days)); has a response rate of 67% to recruiters."
CAND_0065195,18,0.9741,"Experienced Search Engineer (5.1 years) who has shipped systems using QLoRA, Elasticsearch, Hugging Face Transformers. Based in Kolkata, West Bengal (relocation constraint) (45-day notice period); has a response rate of 80% to recruiters."
